Station ID,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"139-0609","34.320192, -83.830486",2016,7880,Estimated,,,0,0,,,8790,Short Term
"139-0612","34.318544, -83.833729",2016,2590,Actual,69,5,0.27,0,0.128,0.8,3110,Short Term
"139-0616","34.293211, -83.822954",2016,2520,Estimated,217,7,0,0,0.09,0.5,2790,Short Term
"139-0618","34.296471, -83.825412",2016,3340,Actual,152,10,0.299,0.03,0.108,0.6,3700,Short Term
"139-0621","34.298426, -83.826740",2016,2480,Estimated,,,0,0,0.128,0.5,2720,Short Term
"139-0623","34.299816, -83.827763",2016,2920,Estimated,,,0,0,,,3330,Short Term
"139-0625","34.288291, -83.831127",2016,880,Estimated,,,0,0,0.134,0.5,1060,Short Term
"139-0627","34.289268, -83.823417",2016,3970,Actual,,,0,0,0.104,0.5,4180,Short Term
"139-0628","34.300530, -83.810815",2016,1670,Actual,33,8,0.24,0,0.0996,0.6,1910,Short Term
"139-0629","34.302703, -83.807176",2016,690,Actual,13,4,0,0,0.094,0.6,770,Short Term
"139-0630","34.279528, -83.826981",2016,8880,Actual,,,0,0,0.0945,0.6,9120,Short Term
"139-0632","34.281507, -83.832494",2016,4230,Estimated,,,0,0,0.09,,4340,Short Term
"139-0634","34.287120, -83.832799",2016,1210,Estimated,,,0,0,0.101,0.5,1450,Short Term
"139-0638","34.301860, -83.818558",2016,1590,Estimated,,,0,0,0.132,0.5,1810,Short Term
"139-0641","34.300502, -83.821540",2016,1410,Estimated,,,0,0,0.1,,1690,Short Term
"139-0647","34.290801, -83.845130",2016,14100,Estimated,,,0,0,0.0966,0.5,16900,Short Term
"139-0658","34.298482, -83.829335",2016,8420,Actual,,,0,0,0.109,0.5,9180,Short Term
"139-0661","34.299285, -83.829731",2016,11200,Estimated,,,0,0,0.08,,11300,Short Term
"139-0668","34.297301, -83.841837",2016,470,Actual,,,0,0,0.128,0.5,517,Short Term
"139-0669","34.300681, -83.832795",2016,3620,Actual,71,6,0,0,0.107,0.5,4410,Short Term
"139-0674","34.322801, -83.827865",2016,2810,Actual,93,12,0.107,0.036,0.101,0.6,3480,Short Term
"139-0678","34.326236, -83.831922",2016,1230,Actual,168,8,1.951,0.163,0.0916,0.5,1420,Short Term
"139-0681","34.284948, -83.794911",2016,4670,Actual,128,138,0.214,0.064,0.103,0.6,4700,Short Term
"139-0683","34.290817, -83.803310",2016,10700,Estimated,245,134,0,0,0.08,0.6,13800,Short Term
"139-0689","34.300640, -83.826015",2016,1080,Estimated,21,1,0,0,0.116,0.5,1300,Short Term
"139-0692","34.302914, -83.820539",2016,2860,Estimated,,,0,0,0.118,0.5,3750,Short Term
"139-0694","34.309342, -83.823727",2016,940,Estimated,,,0,0,0.134,0.5,950,Short Term
"139-0696","34.301448, -83.827454",2016,10500,Actual,,,0,0,0.0885,0.5,15400,Short Term
"139-0703","34.307688, -83.838782",2016,4850,Estimated,52,3,0,0,0.117,0.5,5580,Short Term
"139-0705","34.310352, -83.831965",2016,4020,Actual,43,4,0.05,0,0.0964,0.6,4190,Short Term
"139-0707","34.287171, -83.841445",2016,15300,Estimated,,,0,0,,,17600,Short Term
"139-0709","34.293538, -83.842762",2016,8680,Actual,211,31,0.23,0,0.102,0.5,10200,Short Term
"139-0712","34.305223, -83.844961",2016,6580,Actual,61,6,0.03,0,0.103,0.5,7020,Short Term
"139-0714","34.286697, -83.833233",2016,4740,Actual,,,0,0,0.101,0.5,6980,Short Term
"139-0716","34.275028, -83.834141",2016,4360,Estimated,,,0,0,,,4640,Short Term
"139-0718","34.286503, -83.859197",2016,2470,Estimated,103,1,0.603,0,0.128,0.5,5590,Short Term
"139-0741","34.244620, -83.865181",2016,3970,Actual,,,0,0,0.0922,0.5,4250,Short Term
"139-0763","34.315772, -83.799819",2016,18100,Estimated,555,269,0,0,0.09,0.6,20600,Short Term
"139-0765","34.323332, -83.803400",2016,18300,Estimated,681,294,0.233,0.105,0.103,0.7,20800,Short Term
"139-0767","34.332955, -83.809205",2016,8840,Estimated,383,192,0,0,,,10900,Short Term
"139-0769","34.315525, -83.828005",2016,4010,Actual,128,15,0.249,0.025,0.0879,0.6,4350,Short Term
"139-0771","34.387309, -83.667463",2016,3800,Estimated,,,0,0,0.11,,4110,Short Term
"139-0773","34.368047, -83.877559",2016,730,Actual,26,2,0.137,0,0.0863,0.6,780,Short Term
"139-0775","34.254227, -83.887220",2016,960,Actual,23,11,0.104,0.208,0.101,0.6,1670,Short Term
"139-0777","34.305554, -83.832909",2016,1870,Estimated,16,1,0,0,,,2130,Short Term
"139-0779","34.168773, -83.882791",2016,2370,Estimated,,,0,0,0.13,0.5,2770,Short Term
"139-0782","34.317729, -83.808487",2016,660,Estimated,,,0,0,0.137,0.5,830,Short Term
"139-7378","34.347856, -83.906161",2016,4900,Actual,146,30,0.082,0.061,0.0985,0.7,7680,Short Term
"139-7379","34.319839, -83.907375",2016,850,Estimated,24,6,0,0,,,970,Short Term
"139-7380","34.128266, -83.948975",2016,4040,Actual,,,0,0,0.105,0.5,4850,Short Term
"139-7381","34.161940, -83.936103",2016,4360,Estimated,138,29,0,0,0.12,0.7,8070,Short Term
"139-7382","34.131887, -83.935271",2016,5800,Estimated,,,0,0,0.114,0.5,7160,Short Term
"139-7383","34.173200, -83.836400",2016,,,,,,,,,,Short Term
"139-7384","34.207888, -83.841050",2016,2020,Estimated,51,5,0,0,0.123,0.5,3890,Short Term
"139-7385","34.306868, -83.804122",2016,320,Actual,2,0,0,0,0.117,0.8,352,Short Term
"139-7386","34.182000, -83.856713",2016,3350,Actual,,,0,0,0.099,0.5,7360,Short Term
"139-7387","34.219930, -83.935212",2016,1100,Estimated,31,10,0,0,,,2070,Short Term
"139-7388","34.314647, -83.808703",2016,1370,Estimated,,,0,0,0.129,0.5,1520,Short Term
"139-7389","34.322902, -83.838248",2016,460,Estimated,,,0,0,0.143,0.5,550,Short Term
"139-7390","34.319911, -83.839009",2016,240,Estimated,,,0,0,0.09,,290,Short Term
"139-7391","34.313700, -83.833098",2016,1820,Estimated,,,0,0,0.138,0.5,2110,Short Term
"139-7392","34.296087, -83.822645",2016,2620,Estimated,91,8,0.352,0.039,0.142,0.6,3140,Short Term
"139-7393","34.387959, -83.666340",2016,2600,Estimated,,,0,0,0.118,0.5,3050,Short Term
"139-7394","34.302229, -83.840806",2016,1920,Estimated,,,0,0,,,2200,Short Term
"139-8001","34.496748, -83.830026",2016,170,Actual,,,0,0,0.12,0.5,420,Short Term
"139-8003","34.369463, -83.827952",2016,20,Estimated,,,0,0,,,20,Short Term
"139-8007","34.399247, -83.808563",2016,50,Estimated,,,0,0,,,60,Short Term
"139-8009","34.351287, -83.839023",2016,60,Estimated,,,0,0,,,70,Short Term
"139-8013","34.221205, -83.868636",2016,1240,Estimated,,,0,0,,,1490,Short Term
"139-8015","34.440069, -83.914305",2016,140,Estimated,,,0,0,0.1,,170,Short Term
"139-8019","34.341067, -83.878828",2016,30,Estimated,,,0,0,,,40,Short Term
"139-8021","34.350330, -83.912867",2016,1940,Estimated,,,0,0,0.119,0.5,2490,Short Term
"139-8025","34.323444, -83.920974",2016,830,Estimated,,,0,0,,,930,Short Term
"139-8027","34.314355, -83.900628",2016,850,Estimated,,,0,0,0.08,,990,Short Term
"139-8031","34.320678, -83.871749",2016,60,Estimated,,,0,0,,,70,Short Term
"139-8033","34.293539, -83.867455",2016,220,Estimated,,,0,0,0.163,0.5,380,Short Term
"139-8037","34.276321, -83.837496",2016,30,Estimated,,,0,0,,,40,Short Term
"139-8039","34.286789, -83.848478",2016,850,Estimated,,,0,0,0.09,,990,Short Term
"139-8043","34.258984, -83.942682",2016,110,Estimated,,,0,0,,,130,Short Term
